T,v(t),a(t)
 19.80,84.60342, 1.35319
 19.90,84.73738, 1.33966
 20.00,84.87001, 1.32626
 20.10,85.00131, 1.31300
 20.20,85.13130, 1.29987
 20.30,85.25999, 1.28687
 20.40,85.38739, 1.27400
 20.50,85.51352, 1.26126
 20.60,85.63838, 1.24865
 20.70,85.76200, 1.23616
 20.80,85.88438, 1.22380
 20.90,86.00554, 1.21156
 21.00,86.12548, 1.19945
 21.10,86.24422, 1.18745
 21.20,86.36179, 1.17558
 21.30,86.47816, 1.16382
 21.40,86.59338, 1.15218
 21.50,86.70745, 1.14066
 21.60,86.82037, 1.12925
 21.70,86.93217, 1.11796
 21.80,87.04285, 1.10678
 21.90,87.15242, 1.09572
 22.00,87.26089, 1.08476
 22.10,87.36829, 1.07391
 22.20,87.47460, 1.06317
 22.30,87.57986, 1.05254
 22.40,87.68406, 1.04201
 22.50,87.78722, 1.03159
 22.60,87.88934, 1.02128
 22.70,87.99045, 1.01107
 22.80,88.09055, 1.00096
 22.90,88.18964, 0.99095
 23.00,88.28775, 0.98104
 23.10,88.38487, 0.97123
 23.20,88.48103, 0.96151
 23.30,88.57622, 0.95190
 23.40,88.67046, 0.94238
 23.50,88.76375, 0.93295
 23.60,88.85611, 0.92363
 23.70,88.94755, 0.91439
 23.80,89.03807, 0.90525
 23.90,89.12769, 0.89619
 24.00,89.21642, 0.88723
 24.10,89.30425, 0.87836
 24.20,89.39121, 0.86957
 24.30,89.47730, 0.86088
 24.40,89.56253, 0.85227
 24.50,89.64690, 0.84375
 24.60,89.73044, 0.83531
 24.70,89.81313, 0.82696
 24.80,89.89500, 0.81869
 24.90,89.97605, 0.81050
 25.00,90.05629, 0.80239
 25.10,90.13573, 0.79437
 25.20,90.21437, 0.78643
 25.30,90.29223, 0.77856
 25.40,90.36931, 0.77078
 25.50,90.44562, 0.76307
 25.60,90.52116, 0.75544
 25.70,90.59595, 0.74788
 25.80,90.67000, 0.74040
 25.90,90.74330, 0.73300
 26.00,90.81587, 0.72567
 26.10,90.88771, 0.71841
 26.20,90.95883, 0.71123
 26.30,91.02924, 0.70412
 26.40,91.09895, 0.69708
 26.50,91.16796, 0.69010
 26.60,91.23628, 0.68320
 26.70,91.30392, 0.67637
 26.80,91.37088, 0.66961
 26.90,91.43717, 0.66291
 27.00,91.50280, 0.65628
 27.10,91.56777, 0.64972
 27.20,91.63210, 0.64322
 27.30,91.69578, 0.63679
 27.40,91.75882, 0.63042
 27.50,91.82123, 0.62412
 27.60,91.88302, 0.61788
 27.70,91.94419, 0.61170
 27.80,92.00475, 0.60558
 27.90,92.06470, 0.59953
 28.00,92.12405, 0.59353
 28.10,92.18282, 0.58759
 28.20,92.24099, 0.58172
 28.30,92.29858, 0.57590
 28.40,92.35559, 0.57014
 28.50,92.41203, 0.56444
 28.60,92.46791, 0.55880
 28.70,92.52323, 0.55321
 28.80,92.57800, 0.54768
 28.90,92.63223, 0.54220
 29.00,92.68591, 0.53678
 29.10,92.73904, 0.53141
 29.20,92.79166, 0.52610
 29.30,92.84374, 0.52083
 29.40,92.89530, 0.51563
 29.50,92.94635, 0.51047
 29.60,92.99689, 0.50537
 29.70,93.04692, 0.50031
 29.80,93.09645, 0.49531
 29.90,93.14548, 0.49035
 30.00,93.19403, 0.48545
 30.10,93.24209, 0.48060
 30.20,93.28967, 0.47579
 30.30,93.33677, 0.47103
 30.40,93.38340, 0.46632
 30.50,93.42957, 0.46166
 30.60,93.47527, 0.45704
 30.70,93.52052, 0.45247
 30.80,93.56532, 0.44795
 30.90,93.60966, 0.44347
 31.00,93.65357, 0.43903
 31.10,93.69704, 0.43464
 31.20,93.74007, 0.43030
 31.30,93.78267, 0.42599
 31.40,93.82484, 0.42173
 31.50,93.86659, 0.41752
 31.60,93.90793, 0.41334
 31.70,93.94885, 0.40921
 31.80,93.98936, 0.40511
 31.90,94.02947, 0.40106
 32.00,94.06918, 0.39705
 32.10,94.10848, 0.39308
 32.20,94.14740, 0.38915
 32.30,94.18593, 0.38526
 32.40,94.22407, 0.38141
 32.50,94.26183, 0.37759
 32.60,94.29921, 0.37382
 32.70,94.33622, 0.37008
 32.80,94.37286, 0.36638
 32.90,94.40913, 0.36271
 33.00,94.44504, 0.35909
 33.10,94.48059, 0.35550
 33.20,94.51579, 0.35194
 33.30,94.55063, 0.34842
 33.40,94.58512, 0.34494
 33.50,94.61927, 0.34149
 33.60,94.65308, 0.33807
 33.70,94.68655, 0.33469
 33.80,94.71968, 0.33135
 33.90,94.75249, 0.32803
 34.00,94.78497, 0.32475
 34.10,94.81712, 0.32150
 34.20,94.84895, 0.31829
 34.30,94.88046, 0.31511
 34.40,94.91165, 0.31195
 34.50,94.94254, 0.30883
 34.60,94.97311, 0.30575
 34.70,95.00337, 0.30269
 34.80,95.03334, 0.29966
 34.90,95.06300, 0.29667
 35.00,95.09238, 0.29370
 35.10,95.12145, 0.29076
 35.20,95.15024, 0.28785
 35.30,95.17873, 0.28498
 35.40,95.20695, 0.28213
 35.50,95.23488, 0.27931
 35.60,95.26253, 0.27651
 35.70,95.28990, 0.27375
 35.80,95.31700, 0.27101
 35.90,95.34383, 0.26830
 36.00,95.37039, 0.26562
 36.10,95.39669, 0.26296
 36.20,95.42272, 0.26033
 36.30,95.44849, 0.25773
 36.40,95.47401, 0.25515
 36.50,95.49927, 0.25260
 36.60,95.52428, 0.25007
 36.70,95.54903, 0.24757
 36.80,95.57355, 0.24510
 36.90,95.59781, 0.24265
 37.00,95.62183, 0.24022
 37.10,95.64561, 0.23782
 37.20,95.66916, 0.23544
 37.30,95.69247, 0.23308
 37.40,95.71555, 0.23075
 37.50,95.73839, 0.22845
 37.60,95.76100, 0.22616
 37.70,95.78339, 0.22390
 37.80,95.80556, 0.22166
 37.90,95.82750, 0.21944
 38.00,95.84923, 0.21725
 38.10,95.87074, 0.21508
 38.20,95.89203, 0.21293
 38.30,95.91311, 0.21080
 38.40,95.93398, 0.20869
 38.50,95.95464, 0.20660
 38.60,95.97509, 0.20454
 38.70,95.99534, 0.20249
 38.80,96.01539, 0.20047
 38.90,96.03523, 0.19846
 39.00,96.05488, 0.19648
 39.10,96.07433, 0.19451
 39.20,96.09359, 0.19257
 39.30,96.11266, 0.19064
 39.40,96.13153, 0.18873
 39.50,96.15022, 0.18685
 39.60,96.16872, 0.18498
 39.70,96.18703, 0.18313
 39.80,96.20515, 0.18130
 39.90,96.22311, 0.17948
 40.00,96.24088, 0.17769
 40.10,96.25847, 0.17591
 40.20,96.27589, 0.17415
 40.30,96.29313, 0.17241
 40.40,96.31020, 0.17069
 40.50,96.32710, 0.16898
 40.60,96.34383, 0.16729
 40.70,96.36039, 0.16562
 40.80,96.37679, 0.16396
 40.90,96.39302, 0.16232
 41.00,96.40909, 0.16070
 41.10,96.42500, 0.15909
 41.20,96.44074, 0.15750
 41.30,96.45634, 0.15593
 41.40,96.47177, 0.15437
 41.50,96.48705, 0.15282
 41.60,96.50218, 0.15129
 41.70,96.51716, 0.14978
 41.80,96.53199, 0.14828
 41.90,96.54667, 0.14680
 42.00,96.56120, 0.14533
 42.10,96.57559, 0.14388
 42.20,96.58984, 0.14244
 42.30,96.60394, 0.14102
 42.40,96.61790, 0.13961
 42.50,96.63172, 0.13821
 42.60,96.64540, 0.13683
 42.70,96.65895, 0.13546
 42.80,96.67236, 0.13410
 42.90,96.68564, 0.13276
 43.00,96.69878, 0.13144
 43.10,96.71180, 0.13012
 43.20,96.72468, 0.12882
 43.30,96.73743, 0.12753
 43.40,96.75006, 0.12626
 43.50,96.76256, 0.12499
 43.60,96.77493, 0.12374
 43.70,96.78719, 0.12251
 43.80,96.79932, 0.12128
 43.90,96.81133, 0.12007
 44.00,96.82321, 0.11887
 44.10,96.83498, 0.11768
 44.20,96.84663, 0.11650
 44.30,96.85816, 0.11534
 44.40,96.86958, 0.11418
 44.50,96.88089, 0.11304
 44.60,96.89208, 0.11191
 44.70,96.90316, 0.11079
 44.80,96.91413, 0.10968
 44.90,96.92499, 0.10859
 45.00,96.93574, 0.10750
 45.10,96.94638, 0.10643
 45.20,96.95692, 0.10536
 45.30,96.96735, 0.10431
 45.40,96.97768, 0.10327
 45.50,96.98790, 0.10223
 45.60,96.99802, 0.10121
 45.70,97.00804, 0.10020
 45.80,97.01796, 0.09920
 45.90,97.02778, 0.09820
 46.00,97.03750, 0.09722
 46.10,97.04713, 0.09625
 46.20,97.05666, 0.09529
 46.30,97.06609, 0.09433
 46.40,97.07542, 0.09339
 46.50,97.08467, 0.09246
 46.60,97.09383, 0.09153
 46.70,97.10289, 0.09062
 46.80,97.11186, 0.08971
 46.90,97.12074, 0.08881
 47.00,97.12953, 0.08793
 47.10,97.13824, 0.08705
 47.20,97.14686, 0.08618
 47.30,97.15539, 0.08531
 47.40,97.16383, 0.08446
 47.50,97.17220, 0.08362
 47.60,97.18047, 0.08278
 47.70,97.18867, 0.08195
 47.80,97.19678, 0.08113
 47.90,97.20481, 0.08032
 48.00,97.21276, 0.07952
 48.10,97.22063, 0.07872
 48.20,97.22843, 0.07794
 48.30,97.23615, 0.07716
 48.40,97.24378, 0.07639
 48.50,97.25134, 0.07562
 48.60,97.25883, 0.07487
 48.70,97.26624, 0.07412
 48.80,97.27357, 0.07338
 48.90,97.28084, 0.07264
 49.00,97.28803, 0.07192
 49.10,97.29515, 0.07120
 49.20,97.30220, 0.07048
 49.30,97.30918, 0.06978
 49.40,97.31609, 0.06908
 49.50,97.32292, 0.06839
 49.60,97.32969, 0.06771
 49.70,97.33640, 0.06703
 49.80,97.34303, 0.06636
 49.90,97.34960, 0.06570
 50.00,97.35610, 0.06504
 50.10,97.36254, 0.06439
 50.20,97.36892, 0.06375
 50.30,97.37523, 0.06311
 50.40,97.38148, 0.06248
 50.50,97.38766, 0.06185
 50.60,97.39379, 0.06123
 50.70,97.39986, 0.06062
 50.80,97.40586, 0.06001
 50.90,97.41180, 0.05941
 51.00,97.41769, 0.05882
 51.10,97.42351, 0.05823
 51.20,97.42928, 0.05765
 51.30,97.43498, 0.05707
 51.40,97.44064, 0.05650
 51.50,97.44623, 0.05594
 51.60,97.45177, 0.05538
 51.70,97.45725, 0.05482
 51.80,97.46268, 0.05427
 51.90,97.46805, 0.05373
 52.00,97.47337, 0.05320
 52.10,97.47863, 0.05266
 52.20,97.48384, 0.05214
 52.30,97.48901, 0.05162
 52.40,97.49412, 0.05110
 52.50,97.49918, 0.05059
 52.60,97.50418, 0.05008
 52.70,97.50914, 0.04958
 52.80,97.51405, 0.04909
 52.90,97.51891, 0.04860
 53.00,97.52372, 0.04811
 53.10,97.52848, 0.04763
 53.20,97.53320, 0.04715
 53.30,97.53786, 0.04668
 53.40,97.54249, 0.04621
 53.50,97.54707, 0.04575
 53.60,97.55160, 0.04529
 53.70,97.55608, 0.04484
 53.80,97.56052, 0.04439
 53.90,97.56492, 0.04395
 54.00,97.56927, 0.04351
 54.10,97.57358, 0.04307
 54.20,97.57784, 0.04264
 54.30,97.58206, 0.04222
 54.40,97.58624, 0.04179
 54.50,97.59038, 0.04138
 54.60,97.59447, 0.04096
 54.70,97.59853, 0.04055
 54.80,97.60255, 0.04015
 54.90,97.60652, 0.03975
 55.00,97.61046, 0.03935
 55.10,97.61436, 0.03895
 55.20,97.61821, 0.03856
 55.30,97.62202, 0.03818
 55.40,97.62580, 0.03780
 55.50,97.62954, 0.03742
 55.60,97.63325, 0.03705
 55.70,97.63692, 0.03668
 55.80,97.64055, 0.03631
 55.90,97.64414, 0.03595
 56.00,97.64770, 0.03559
 56.10,97.65122, 0.03523
 56.20,97.65471, 0.03488
 56.30,97.65816, 0.03453
 56.40,97.66158, 0.03418
 56.50,97.66497, 0.03384
 56.60,97.66832, 0.03350
 56.70,97.67164, 0.03317
 56.80,97.67492, 0.03284
 56.90,97.67817, 0.03251
 57.00,97.68139, 0.03218
 57.10,97.68458, 0.03186
 57.20,97.68773, 0.03154
 57.30,97.69085, 0.03123
 57.40,97.69394, 0.03092
 57.50,97.69700, 0.03061
 57.60,97.70003, 0.03030
 57.70,97.70303, 0.03000
 57.80,97.70599, 0.02970
 57.90,97.70893, 0.02940
 58.00,97.71185, 0.02911
 58.10,97.71473, 0.02882
 58.20,97.71758, 0.02853
 58.30,97.72041, 0.02824
 58.40,97.72320, 0.02796
 58.50,97.72597, 0.02768
 58.60,97.72871, 0.02740
 58.70,97.73142, 0.02713
 58.80,97.73411, 0.02686
 58.90,97.73677, 0.02659
 59.00,97.73940, 0.02632
 59.10,97.74201, 0.02606
 59.20,97.74459, 0.02580
 59.30,97.74715, 0.02554
 59.40,97.74967, 0.02529
 59.50,97.75217, 0.02503
 59.60,97.75465, 0.02478
 59.70,97.75711, 0.02453
