T,v(t),a(t)
 87.10,97.98456, 0.00156
 87.20,97.98471, 0.00154
 87.30,97.98486, 0.00153
 87.40,97.98502, 0.00151
 87.50,97.98517, 0.00150
 87.60,97.98531, 0.00148
 87.70,97.98546, 0.00147
 87.80,97.98560, 0.00145
 87.90,97.98575, 0.00144
 88.00,97.98589, 0.00143
 88.10,97.98603, 0.00141
 88.20,97.98617, 0.00140
 88.30,97.98631, 0.00138
 88.40,97.98644, 0.00137
 88.50,97.98658, 0.00136
 88.60,97.98672, 0.00134
 88.70,97.98685, 0.00133
 88.80,97.98698, 0.00132
 88.90,97.98711, 0.00130
 89.00,97.98724, 0.00129
 89.10,97.98737, 0.00128
 89.20,97.98750, 0.00126
 89.30,97.98762, 0.00125
 89.40,97.98774, 0.00124
 89.50,97.98786, 0.00123
 89.60,97.98798, 0.00121
 89.70,97.98811, 0.00120
 89.80,97.98823, 0.00119
 89.90,97.98834, 0.00118
 90.00,97.98846, 0.00117
 90.10,97.98857, 0.00115
 90.20,97.98869, 0.00114
 90.30,97.98880, 0.00113
 90.40,97.98891, 0.00112
 90.50,97.98903, 0.00111
 90.60,97.98914, 0.00110
 90.70,97.98924, 0.00109
 90.80,97.98935, 0.00108
 90.90,97.98946, 0.00107
 91.00,97.98956, 0.00105
 91.10,97.98967, 0.00104
 91.20,97.98978, 0.00103
 91.30,97.98988, 0.00102
 91.40,97.98997, 0.00101
 91.50,97.99007, 0.00100
 91.60,97.99017, 0.00099
 91.70,97.99027, 0.00098
 91.80,97.99037, 0.00097
 91.90,97.99047, 0.00096
 92.00,97.99056, 0.00095
 92.10,97.99065, 0.00094
 92.20,97.99075, 0.00093
 92.30,97.99084, 0.00093
 92.40,97.99093, 0.00092
 92.50,97.99102, 0.00091
 92.60,97.99111, 0.00090
 92.70,97.99120, 0.00089
 92.80,97.99129, 0.00088
 92.90,97.99138, 0.00087
 93.00,97.99146, 0.00086
 93.10,97.99155, 0.00085
 93.20,97.99163, 0.00085
 93.30,97.99171, 0.00084
 93.40,97.99180, 0.00083
 93.50,97.99188, 0.00082
 93.60,97.99197, 0.00081
 93.70,97.99205, 0.00080
 93.80,97.99213, 0.00080
 93.90,97.99220, 0.00079
 94.00,97.99228, 0.00078
 94.10,97.99236, 0.00077
 94.20,97.99243, 0.00076
 94.30,97.99251, 0.00076
 94.40,97.99258, 0.00075
 94.50,97.99266, 0.00074
 94.60,97.99274, 0.00073
 94.70,97.99281, 0.00073
 94.80,97.99288, 0.00072
 94.90,97.99295, 0.00071
 95.00,97.99302, 0.00071
 95.10,97.99309, 0.00070
 95.20,97.99316, 0.00069
 95.30,97.99323, 0.00068
 95.40,97.99329, 0.00068
 95.50,97.99336, 0.00067
 95.60,97.99343, 0.00066
 95.70,97.99350, 0.00066
 95.80,97.99357, 0.00065
 95.90,97.99363, 0.00064
 96.00,97.99369, 0.00064
 96.10,97.99375, 0.00063
 96.20,97.99381, 0.00062
 96.30,97.99387, 0.00062
 96.40,97.99393, 0.00061
 96.50,97.99400, 0.00061
 96.60,97.99406, 0.00060
 96.70,97.99412, 0.00059
 96.80,97.99418, 0.00059
 96.90,97.99424, 0.00058
 97.00,97.99430, 0.00058
 97.10,97.99435, 0.00057
 97.20,97.99441, 0.00056
 97.30,97.99446, 0.00056
 97.40,97.99451, 0.00055
 97.50,97.99457, 0.00055
 97.60,97.99462, 0.00054
 97.70,97.99467, 0.00054
 97.80,97.99473, 0.00053
 97.90,97.99478, 0.00053
 98.00,97.99483, 0.00052
 98.10,97.99489, 0.00052
 98.20,97.99494, 0.00051
 98.30,97.99500, 0.00051
 98.40,97.99505, 0.00050
 98.50,97.99509, 0.00050
 98.60,97.99514, 0.00049
 98.70,97.99519, 0.00049
 98.80,97.99523, 0.00048
 98.90,97.99528, 0.00048
 99.00,97.99532, 0.00047
 99.10,97.99537, 0.00047
 99.20,97.99541, 0.00046
 99.30,97.99546, 0.00046
 99.40,97.99551, 0.00045
 99.50,97.99555, 0.00045
 99.60,97.99560, 0.00044
 99.70,97.99564, 0.00044
 99.80,97.99569, 0.00044
 99.90,97.99574, 0.00043
